LogID,LogEntrySeconds,LogNotes,Напряжение батареи ( В),Температура охлаждающей жидкости ( °С),Обороты  двигателя ( об/мин),Скорость автомобиля ( км/час),Угол опережения зажигания ( °ПКВ),Длительность импульса впрыска ( мс),Положение дроссельной заслонки ( %),Положение педали газа ( %),Относительное заполнение воздухом ( %),Желаемое значение коэффициента лямбда (-),Напряжение датчика кислорода 1 ( В),Период сигнала датчика кислорода 1 ( с),Напряжение датчика кислорода 2 ( В),Текущий коэффициент коррекции длительности впрыска топлива (-),Фактор высотной коррекции (-),Адаптированное отклонение расхода воздуха во впускном колекторе мимо дросселя ( кг),Мультипликативная составляющая коррекции смеси самообучением (-),I-часть регулирования по датчику кислорода 2 (-),Фактор старения нейтрализатора (-),Расход топлива ( л/час),Температура впускного воздуха ( °С),Коэффициент продувки адсорбера ( %),Концентрация топлива в адсорбере (-),Величина отскока УОЗ при детонации ( °ПКВ),Желаемые обороты холостого хода ( об/мин),Разница крутящего момента от адаптированного крутящего момента ( %),Нормальная утечка воздуха через дроссель (-),Потребность в моменте для регулирования ХХ: I-часть ( %),Потребность в моменте для регулирования ХХ: PD-часть ( %),Температура охлаждающей жидкости при пуске ( °С),Проверка нейтрализатора завершена (-),Проверка системы улавливания паров бензина завершена (-),Проверка первого датчика кислорода завершена (-),Проверка второго датчика кислорода завершена (-),Контроллер обучен (-),Контроллер заблокирован (-),Запуск с обходом возможен (-),Пароль обхода запрограммирован (-),Ошибка связи с иммобилизатором (-),Быстрый старт разрешен (-),Реле бензонасоса (-),Флаг нажатия педали тормоза 2 (-),Флаг нажатия педали сцепления (-),Запрос на включение кондиционера (-),Реле кондиционера включено (-),Флаг высокого давления в системе кондиционера (-),Реле вентилятора охлаждения 1 (-),Реле вентилятора охлаждения 2 (-),Холостой ход (-),Признак обогащения по мощности  (-),Продувка адсорбера активирована (-),Готовность датчика кислорода 1 (-),Флаг обратной связи по датчику кислорода 1 (-),Готовность датчика кислорода 2 (-),Обратная связь по датчику кислорода 2 (-),Признак разрешения адаптации топливоподачи (-),Отсечка топливоподачи (-),Контроль детонации активен (-),Динамический счетчик не равен нулю (-),Обнаружение пропусков зажигания приостановлено (-),Признак обнаружения неровной дороги (-),Флаг нажатия педали тормоза 1 (-),Регистрация активна (-),Лампа индикации неисправностей (-),Время работы (-),Контрольная сумма ПЗУ (-),АБС присутствует (-),ESP присутствует (-),АКПП присутствует (-),ЦБКЭ присутствует (-),Круиз-контроль присутствует (-),Датчик скорости автомобиля присутствует (-),Окончание обучения электронных устройств (-),Клапан управления длиной каналов системы впуска (-),Доп. реле стартера (-),Цикловое наполнение по датчику абсолютного давления во впускном коллекторе ( мг/ц),Измеренное давление во впускном коллекторе ( мБар),Параметр адаптации демпфера в диапазоне 1  ( °),Параметр адаптации демпфера в диапазоне 2 ( °),Параметр адаптации демпфера в диапазоне 3 ( °),Параметр адаптации демпфера в диапазоне 4 ( °),Счетчик пропусков воспламенения для цилиндра 1. влияющих на токсичность (-),Счетчик пропусков воспламенения для цилиндра 3. влияющих на токсичность (-),Счетчик пропусков воспламенения для цилиндра 4. влияющих на токсичность (-),Счетчик пропусков воспламенения для цилиндра 2. влияющих на токсичность (-),Суммарный счетчик пропусков воспламенения. влияющих на работу нейтрализатора (-),Запрет распознавания. обороты меньше минимальных (-),Запрет распознавания. обороты больше максимальных (-),Запрет распознавания. изменение нагрузки (-),Запрет распознавания. изменение динамики двигателя (-),Запрет распознавания. нагрузка меньше порога (-),Условия отключения топливоподачи (-),Распознавание пропусков воспламенения приостановлено (-),Обучение в диапазоне 1 завершено (-),Обучение в диапазоне 2 завершено (-),Обучение в диапазоне 3 завершено (-),Обучение в диапазоне 4 завершено (-),Счетчик пропусков в цилиндре 1 за текущую поездку (-),Счетчик пропусков в цилиндре 3 за текущую поездку (-),Счетчик пропусков в цилиндре 4 за текущую поездку (-),Счетчик пропусков в цилиндре 2 за текущую поездку (-),Относительный уровень регулировки по детонации в цилиндре 1 (В),Относительный уровень регулировки по детонации в цилиндре 3 (В),Относительный уровень регулировки по детонации в цилиндре 4 (В),Относительный уровень регулировки по детонации в цилиндре 2 (В),Отскок угла опережения зажигания при детонации для цилиндра 1 ( °),Отскок угла опережения зажигания при детонации для цилиндра 3 ( °),Отскок угла опережения зажигания при детонации для цилиндра 4 ( °),Отскок угла опережения зажигания при детонации для цилиндра 2 ( °),Базовый угол опережения зажигания ( °),Максимальная задержка УОЗ ( °),АЦП Бортовое напряжение (В),АЦП Датчик температуры охлаждающей жидкости (В),АЦП Датчик температуры воздуха во впускном коллекторе (В),АЦП Напряжение датчика абсолютного давления во впускном коллекторе (В),АЦП Датчик положения дроссельной заслонки 1 (В),АЦП Датчик положения дроссельной заслонки 2 (В),АЦП Датчик положения педали газа 1 (В),АЦП Датчик положения педали газа 2 (В),АЦП Датчик кислорода 1 (В),АЦП Сопротивление датчика кислорода 1 (Ом),АЦП Датчик кислорода 2 (В),АЦП Сопротивление датчика кислорода 2 (Ом),АЦП Датчик детонации (В),АЦП Напряжение средней точки вентиляторов охлаждения (В),DFM Сигнал с генератора (-),Сигнал LT генератора (-),Сигнал с датчика давления масла (-),Круиз-конторль/ограничитель скорости разрешен (-),Круиз-конторль/ограничитель скорости активен (-),Круиз-конторль/ограничитель скорости вход 1 (-),Круиз-конторль/ограничитель скорости вход 2 (-),температура генератора ( °C),обороты генератора ( об/мин)
395,203,135,14.10,57.00,1172,8.8,15.750,3.373,5.52,2.757,24.23,1.00,0.18,-0.76,0.21,0.968,1.02,-1.32,1.033,0.00,0.90,1.761,20.3,13.321,0.496,0.000,900,7.15,4.5,3.29,-1.13,27.8,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,149.25,469.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,203,515,14.10,57.00,1218,8.8,9.750,3.770,6.08,3.078,26.34,1.00,0.18,-0.76,0.21,0.990,1.02,-1.32,1.039,0.00,0.90,1.761,20.3,14.359,0.496,0.000,900,7.14,4.5,3.29,-1.33,27.8,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,161.94,494.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,203,907,14.10,57.00,1268,8.8,8.250,4.077,6.32,3.569,28.20,1.00,0.32,-0.76,0.27,1.014,1.02,-1.32,1.046,0.00,0.90,2.199,20.3,15.396,0.496,0.000,900,7.14,4.5,3.29,-1.53,27.8,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,170.44,497.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,204,294,14.00,57.00,1297,8.8,7.500,3.987,6.18,3.569,28.48,1.00,0.91,-0.76,0.92,0.972,1.02,-1.32,1.053,0.00,0.90,2.199,19.5,16.434,0.496,0.000,900,7.14,4.5,3.29,-1.64,27.8,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,171.50,486.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,204,685,14.00,57.00,1328,10.0,10.500,3.629,6.25,4.218,27.00,1.00,0.60,-0.76,0.89,0.946,1.02,-1.32,1.054,0.00,0.90,2.199,19.5,17.472,0.496,0.000,900,7.14,4.5,3.29,-1.74,27.8,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,165.19,469.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,205,72,14.10,57.00,1377,10.0,11.250,3.994,6.79,4.218,27.94,1.00,0.62,-0.76,0.24,0.987,1.02,-1.32,1.060,0.00,0.90,2.238,19.5,18.509,0.496,0.000,900,7.14,4.5,3.29,-1.97,27.8,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,171.06,474.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,205,472,14.10,57.00,1452,10.0,12.000,3.770,6.98,4.218,27.35,1.00,0.89,-0.76,0.89,0.942,1.02,-1.32,1.073,0.00,0.90,2.238,19.5,19.547,0.496,0.000,900,7.14,4.5,3.29,-2.38,27.8,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,166.31,460.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,205,863,14.10,57.75,1508,11.3,12.750,3.712,7.15,5.194,26.77,1.00,0.20,-0.76,0.27,0.964,1.02,-1.32,1.081,0.00,0.90,2.406,19.5,20.928,0.496,0.000,900,7.14,4.5,3.29,-2.62,27.8,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,163.19,453.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,206,272,14.10,57.75,1580,11.3,9.000,4.627,8.62,7.953,31.13,1.00,0.85,-0.76,0.72,0.954,1.02,-1.32,1.087,0.00,0.90,2.406,19.5,21.965,0.496,0.000,900,7.14,4.5,3.29,-2.62,27.8,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,190.00,513.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,206,768,14.10,57.75,1651,11.3,12.000,4.288,8.86,9.093,31.10,1.00,0.94,-0.76,0.94,0.923,1.02,-1.32,1.096,0.00,0.90,2.406,19.5,23.346,0.496,0.000,900,7.09,4.5,3.27,-2.60,27.8,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,189.94,520.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,207,162,14.10,57.75,1782,12.5,30.000,4.032,9.67,9.093,29.09,1.00,0.18,-0.76,0.22,0.959,1.02,-1.32,1.109,0.00,0.90,3.313,19.5,24.727,0.496,0.000,900,7.00,4.5,3.23,-2.57,27.8,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,177.19,496.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,207,555,14.10,57.75,1840,13.8,16.500,4.416,10.03,9.248,30.19,1.00,0.17,-0.76,0.20,0.984,1.02,-1.32,1.114,0.00,0.90,3.313,19.5,25.765,0.496,0.000,900,6.96,4.5,3.21,-2.55,27.8,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,187.88,493.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,207,942,14.10,57.75,2005,15.0,29.250,4.691,10.21,9.499,31.85,1.00,0.95,-0.76,0.90,0.964,1.02,-1.32,1.128,0.00,0.90,3.990,19.5,26.802,0.496,9.750,2520,-44.22,128.3,1.16,-49.63,114.0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3119.7,A4,0,1,0,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,208,369,14.10,57.75,2188,16.3,15.000,3.187,3.76,0.000,26.32,1.00,0.99,-0.76,1.00,0.912,1.02,-1.32,1.145,0.00,0.90,3.990,19.5,28.183,0.496,0.000,900,6.74,4.5,3.11,-4.32,27.8,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,176.94,434.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,208,755,14.10,57.75,1870,16.3,36.750,1.261,3.32,0.000,11.16,1.00,0.17,-0.76,0.75,0.890,1.02,-1.32,1.115,0.00,0.90,0.879,19.5,25.765,0.496,0.000,900,6.98,4.5,3.22,-3.61,27.8,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,68.13,244.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,209,162,14.10,57.75,1497,16.3,34.500,1.766,3.44,4.623,13.15,1.00,0.16,-0.76,0.18,0.926,1.02,-1.32,1.097,0.00,0.90,0.879,19.5,23.690,0.496,0.000,900,7.14,4.5,3.29,-2.41,27.8,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,82.56,271.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,209,567,14.10,57.75,1367,16.3,22.500,4.250,7.30,7.953,28.03,1.00,0.18,-0.76,0.19,0.940,1.02,-1.32,1.053,0.00,0.90,0.879,19.5,37.514,0.496,0.000,900,7.14,4.5,3.29,-1.79,27.8,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,176.06,498.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,209,955,14.10,57.75,1270,16.3,27.750,4.160,6.74,9.093,30.28,1.00,0.74,-0.76,0.70,0.927,1.02,-1.32,1.045,0.00,0.90,2.449,19.5,36.828,0.496,0.000,900,7.14,4.5,3.29,-1.41,27.8,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,194.63,554.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,210,356,14.10,57.75,1318,17.5,26.250,4.736,7.40,10.555,33.70,1.00,0.21,-0.76,0.23,0.962,1.02,-1.32,1.058,0.00,0.90,2.449,19.5,42.008,0.496,0.000,900,7.14,4.5,3.29,-1.75,27.8,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,187.75,526.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,210,734,13.70,57.75,1245,17.5,30.750,3.674,9.67,11.687,27.35,1.45,0.11,-1.33,0.72,0.007,0.00,9.22,0.273,0.01,0.02,29.722,-48.0,39.461,0.047,93.000,2000,94.41,313.0,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,-199.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,211,133,14.00,57.75,1443,18.8,25.500,5.331,9.06,12.499,36.52,1.45,0.11,-1.36,1.15,0.007,0.05,-2.93,0.972,0.01,0.75,29.722,-48.0,39.461,0.047,93.000,1940,94.41,313.0,-78.91,10.90,-19.5,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,211,522,14.00,57.75,1437,20.0,25.500,5.216,9.89,14.531,37.52,1.00,0.27,-0.76,0.85,0.934,1.02,-1.32,1.078,0.00,0.90,2.139,19.5,52.377,0.496,0.000,900,7.14,4.5,3.29,-2.28,27.8,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,229.56,608.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,211,924,14.00,57.75,1562,21.3,21.750,7.302,14.40,19.976,48.30,1.00,0.21,-0.76,0.24,0.991,1.02,-1.32,1.114,0.00,0.90,3.889,19.5,84.520,0.496,0.000,900,7.14,4.5,3.29,0.00,27.8,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,301.44,756.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,212,325,14.10,58.50,1677,22.5,21.000,6.682,13.99,19.812,48.73,1.00,0.20,-0.76,0.65,0.982,1.02,-1.32,1.116,0.00,0.90,3.889,19.5,97.658,0.496,0.000,900,7.08,4.5,3.26,0.00,27.8,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,291.44,753.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,212,736,14.10,58.50,1812,23.8,22.500,6.560,14.94,19.812,46.52,1.00,0.17,-0.76,0.20,1.023,1.02,-1.32,1.115,0.00,0.90,3.889,19.5,97.658,0.496,0.000,900,6.98,4.5,3.22,-2.56,27.8,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,284.63,736.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,213,125,14.10,58.50,1924,26.3,22.500,7.085,15.31,20.218,48.19,1.00,0.19,-0.76,0.21,1.067,1.02,-1.32,1.122,0.00,0.90,5.502,19.5,97.658,0.496,0.000,900,6.91,4.5,3.19,-2.54,27.8,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,302.44,722.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,213,533,14.10,58.50,2075,27.5,22.500,7.059,15.01,19.164,49.88,1.00,0.93,-0.76,0.91,1.031,1.02,-1.32,1.135,0.00,0.90,5.502,19.5,97.658,0.496,0.000,900,6.80,4.5,3.13,-2.50,27.8,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,299.94,698.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,213,946,14.10,58.50,2194,30.0,24.750,6.029,13.55,17.374,45.33,1.00,0.98,-0.76,1.00,0.983,1.02,-1.32,1.148,0.00,0.90,6.770,19.5,93.164,0.496,0.000,900,6.73,4.5,3.10,-2.47,27.8,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,271.75,636.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,214,343,14.10,58.50,2298,31.3,27.000,5.434,13.31,16.562,42.49,1.00,0.96,-0.76,0.99,0.934,1.02,-1.32,1.156,0.00,0.90,6.770,18.8,89.357,0.496,0.000,900,6.67,4.5,3.07,-2.45,27.8,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,250.56,601.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,214,749,14.10,58.50,2395,32.5,27.750,5.094,13.99,16.725,40.24,1.00,0.20,-0.76,0.65,0.920,1.02,-1.32,1.162,0.00,0.90,6.770,18.8,93.851,0.496,0.000,900,6.61,4.5,3.05,-2.42,27.8,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,245.81,600.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,215,155,14.10,58.50,2474,33.8,29.250,4.659,12.94,14.046,35.74,1.00,0.18,-0.76,0.22,0.971,1.02,-1.32,1.164,0.00,0.90,5.577,18.8,83.825,0.496,0.000,900,6.56,4.5,3.02,-2.40,27.8,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,209.69,540.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,215,544,14.10,58.50,2556,33.8,27.000,6.330,18.12,18.756,43.36,1.00,0.18,-0.76,0.22,1.019,1.02,-1.32,1.166,0.00,0.90,5.577,18.8,97.658,0.496,0.000,900,6.50,4.5,3.00,-2.39,27.8,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,274.56,691.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,215,926,14.10,58.50,2648,36.3,21.750,5.184,13.55,0.000,36.87,1.00,0.19,-0.76,0.24,1.076,1.02,-1.32,1.173,0.00,0.90,8.002,18.8,90.738,0.496,0.000,900,6.45,4.5,2.98,-4.41,27.8,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,202.06,542.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,216,316,14.10,58.50,2677,36.3,34.500,3.149,10.45,0.000,21.98,1.00,0.17,-0.76,0.22,1.121,1.02,-1.32,1.164,0.00,0.90,8.002,18.8,58.602,0.496,0.000,900,6.44,4.5,2.97,-4.42,27.8,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,128.13,377.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,216,705,14.10,58.50,2695,36.3,22.500,2.906,9.30,0.000,18.05,1.00,0.20,-0.76,0.23,1.161,1.02,-1.32,1.165,0.00,0.90,8.002,18.8,51.339,0.496,0.000,900,6.42,4.5,2.96,-4.41,27.8,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,107.94,330.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,217,83,14.00,58.50,2684,36.3,36.750,2.624,8.13,0.000,15.02,1.00,0.74,-0.76,0.26,1.195,1.02,-1.32,1.163,0.00,0.90,3.201,18.0,44.083,0.496,0.000,900,6.43,4.5,2.97,-4.41,27.8,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,92.63,297.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,217,483,14.10,58.50,2481,33.8,19.500,2.714,6.37,0.000,16.01,1.00,0.93,-0.76,0.93,1.139,1.02,-1.32,1.139,0.00,0.90,3.201,18.0,35.096,0.496,0.000,900,6.57,4.5,3.03,-4.37,27.8,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,99.00,280.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,217,887,14.00,58.50,2198,30.0,13.500,2.381,3.93,0.000,14.25,1.00,1.03,-0.76,1.05,1.109,1.02,-1.32,1.117,0.00,0.90,2.348,18.0,27.489,0.496,0.000,900,6.74,4.5,3.11,-4.31,27.8,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,86.25,239.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,218,293,14.00,59.25,1972,26.3,13.500,1.869,3.56,0.000,11.74,1.00,1.04,-0.76,1.06,1.088,1.02,-1.32,1.117,0.00,0.90,2.348,18.8,24.727,0.496,0.000,900,6.89,4.5,3.17,-3.92,27.8,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,68.00,225.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
